feature,importance,fold
cat_id,73.09943521271347,15
demand_shift_28,100.5579434381867,15
demand_shift_365,93.94698719810907,15
dept_id,79.57844389976094,15
event_name_1,65.98439894395426,15
event_name_2,21.07379599547425,15
event_type_1,58.402527725672364,15
event_type_2,17.429343541229095,15
item_id,84.28936711391154,15
month,78.0263461410926,15
seasonality,81.79818326476646,15
sell_price,87.90085346610115,15
snap_CA,62.07772253314953,15
snap_TX,60.385839011620796,15
snap_WI,68.8076685503816,15
state_id,65.10637317442128,15
store_id,80.92131649171893,15
wday,74.04327229346472,15
year,50.99434273064557,15
