feature,importance,fold
cat_id,13.307521744701,1
day,13.230848288076938,1
dayofweek,13.412274213197264,1
days_from_release,13.953577017677441,1
demand_lag_21_0,13.850101542624703,1
demand_lag_21_14,12.258429769617406,1
demand_lag_21_21,11.796765474560095,1
demand_lag_21_28,13.524561180586574,1
demand_lag_21_7,12.595734774758993,1
demand_rolling_kurt_21_14,11.553431856800128,1
demand_rolling_kurt_21_21,11.250526894059481,1
demand_rolling_kurt_21_28,12.302216702904428,1
demand_rolling_kurt_21_7,11.396497800961418,1
demand_rolling_max_21_14,11.159477326263378,1
demand_rolling_max_21_21,11.282756090682836,1
demand_rolling_max_21_28,11.929011066615622,1
demand_rolling_max_21_7,10.881567363624624,1
demand_rolling_mean_21_14,15.217219804760743,1
demand_rolling_mean_21_21,17.530748774762007,1
demand_rolling_mean_21_28,18.97934026818747,1
demand_rolling_mean_21_7,14.610834150151094,1
demand_rolling_min_21_14,10.397578776713075,1
demand_rolling_min_21_21,10.22447611867025,1
demand_rolling_min_21_28,10.196925802539527,1
demand_rolling_min_21_7,11.014690736052984,1
demand_rolling_skew_21_14,12.318067048560447,1
demand_rolling_skew_21_21,12.201793021711309,1
demand_rolling_skew_21_28,13.02043674096053,1
demand_rolling_skew_21_7,12.295469938294639,1
demand_rolling_std_21_14,13.49761175886867,1
demand_rolling_std_21_21,13.135284380370086,1
demand_rolling_std_21_28,15.441081477587378,1
demand_rolling_std_21_7,13.777363485418428,1
dept_id,14.183013767948838,1
event_name_1,10.943474102846523,1
event_name_2,5.165779742667057,1
event_type_1,10.438124358699218,1
event_type_2,0.0,1
is_NBA_final,10.282556782664612,1
is_blackfriday,9.251686187896214,1
is_chanukah,8.847719932107017,1
is_holiday_ca,8.42094421720047,1
is_holiday_tx,9.053749723737997,1
is_holiday_us,9.440975681519896,1
is_holiday_wi,9.543975261610477,1
is_lent,11.238501322430837,1
is_pesach,9.108816086827467,1
is_purim,5.697171339141821,1
is_ramadan,10.388243391811391,1
is_weekend,12.505135412900142,1
item_id,13.696611413971436,1
item_nunique,13.585944895210426,1
month,13.091689747669765,1
moon,10.711564208319212,1
price_change_t1,9.01272533521061,1
price_change_t365,12.667573106001743,1
price_max,13.998395164509878,1
price_mean,14.06618652174316,1
price_min,13.040477951377156,1
price_momentum,11.395782231515666,1
price_momentum_m,13.589538239532219,1
price_momentum_y,13.74192929600474,1
price_norm,13.378494191212578,1
price_nunique,13.0739377952638,1
price_std,13.52621586718612,1
release,13.162012531239483,1
rolling_price_max_t365,14.003312174820028,1
rolling_price_std_t30,14.56988519195888,1
rolling_price_std_t7,12.612668407251075,1
seasonality,14.182356846376088,1
sell_price,13.20294113299649,1
shift_price_t1,12.628557178702199,1
snap_CA,9.995775244480235,1
snap_TX,10.729918018231393,1
snap_WI,11.500928980383007,1
state_id,11.3208123754263,1
store_id,13.805526882582901,1
wday,14.012315668803339,1
week,13.996472550594431,1
weekofmonth,9.846898206702496,1
year,12.472994618971036,1
