feature,importance,fold
cat_id,12.69196818416528,1
day,13.521107058165644,1
dayofweek,14.609281405859054,1
demand_lag_0,16.06919371640234,1
demand_lag_14,11.869616131891739,1
demand_lag_28,13.384299101663283,1
demand_lag_7,12.499733807242448,1
demand_rolling_kurt_14,11.014315823091353,1
demand_rolling_kurt_28,11.727545289681181,1
demand_rolling_kurt_7,11.050164720086755,1
demand_rolling_max_14,10.405709426745457,1
demand_rolling_max_28,12.845829120208643,1
demand_rolling_max_7,11.989865807606462,1
demand_rolling_mean_14,19.323985955659904,1
demand_rolling_mean_28,17.709336469202647,1
demand_rolling_mean_7,19.181863748494226,1
demand_rolling_min_14,9.483150131262743,1
demand_rolling_min_28,10.037764258568837,1
demand_rolling_min_7,11.06565791504111,1
demand_rolling_skew_14,12.350244165043867,1
demand_rolling_skew_28,13.486225614514893,1
demand_rolling_skew_7,13.709619605425718,1
demand_rolling_std_14,15.269737855610952,1
demand_rolling_std_28,15.85988062231987,1
demand_rolling_std_7,15.029201867713864,1
dept_id,13.638031639755622,1
event_name_1,13.509800003338363,1
event_name_2,0.0,1
event_type_1,11.877541375250793,1
event_type_2,5.686212332757061,1
is_weekend,13.340004875566104,1
item_id,11.656882137042079,1
item_nunique,11.074412512705878,1
month,13.102269063844506,1
price_change_t1,10.60724936191296,1
price_change_t365,10.159377836032121,1
price_max,12.516705817000192,1
price_mean,12.350123060822634,1
price_min,11.353468272661214,1
price_momentum,12.164356156512403,1
price_momentum_m,10.627710759251155,1
price_momentum_y,11.283351037267831,1
price_norm,10.505314422897786,1
price_nunique,12.003125145163578,1
price_std,10.992957949030869,1
release,10.283777656707999,1
rolling_price_max_t365,12.838437471870197,1
rolling_price_std_t30,13.241910578688408,1
rolling_price_std_t7,12.281026615203437,1
seasonality,12.88073439615649,1
sell_price,11.245375411441808,1
shift_price_t1,11.939426126144621,1
snap_CA,8.012129267617341,1
snap_TX,11.309354622540253,1
snap_WI,12.20502053162159,1
state_id,11.233604005238874,1
store_id,13.56763622166201,1
wday,14.618055916755743,1
week,12.49885970089794,1
weekofmonth,9.313178089790659,1
year,9.508207402577147,1
