feature,importance,fold
cat_id,39.585151102634725,6
day,49.0763365137764,6
dayofweek,50.30787916609138,6
days_from_release,51.41422926693271,6
demand_lag_0,53.16831963862731,6
demand_lag_14,48.23136905757422,6
demand_lag_21,49.08235404816607,6
demand_lag_28,51.56804632991891,6
demand_lag_7,49.81304469189158,6
demand_rolling_kurt_14,46.86938400111017,6
demand_rolling_kurt_21,46.86500615646635,6
demand_rolling_kurt_28,47.71910852034817,6
demand_rolling_kurt_7,46.92579256075122,6
demand_rolling_max_14,47.56009362088873,6
demand_rolling_max_21,47.828158279261686,6
demand_rolling_max_28,49.200113749467924,6
demand_rolling_max_7,47.83775127884725,6
demand_rolling_mean_14,55.86760169402608,6
demand_rolling_mean_21,54.55616406191559,6
demand_rolling_mean_28,63.077130601343356,6
demand_rolling_mean_7,54.560613703669155,6
demand_rolling_min_14,46.24850632629178,6
demand_rolling_min_21,45.68722525201094,6
demand_rolling_min_28,46.56302920292416,6
demand_rolling_min_7,48.096683124962446,6
demand_rolling_skew_14,47.06524885699031,6
demand_rolling_skew_21,47.02050389947082,6
demand_rolling_skew_28,47.72953414319762,6
demand_rolling_skew_7,47.23755535586311,6
demand_rolling_std_14,46.00224083589937,6
demand_rolling_std_21,45.64194187217141,6
demand_rolling_std_28,49.19423212051525,6
demand_rolling_std_7,47.172984044877616,6
dept_id,45.44515983812479,6
event_name_1,41.86329489830006,6
event_name_2,30.47242456697294,6
event_type_1,39.39628924903109,6
event_type_2,29.11073987188358,6
is_NBA_final,40.24539352996443,6
is_blackfriday,30.98283571038418,6
is_chanukah,37.61070012716459,6
is_holiday_ca,32.27506046900737,6
is_holiday_tx,36.82548968961196,6
is_holiday_us,36.78614258287641,6
is_holiday_wi,40.09327958137419,6
is_lent,41.07214768921432,6
is_pesach,36.593937424862546,6
is_purim,28.598338171083753,6
is_ramadan,39.019821483542614,6
is_weekend,46.539005784006825,6
item_id,49.52060991279737,6
item_nunique,49.21694215854197,6
month,48.38988114101828,6
price_change_t1,36.63277423116312,6
price_change_t365,47.386797029708916,6
price_max,48.25969239192044,6
price_mean,48.27240540858913,6
price_min,47.475582305333965,6
price_momentum,42.26687617169423,6
price_momentum_m,49.15755486362249,6
price_momentum_y,51.3000863205593,6
price_norm,48.704799701412846,6
price_nunique,49.01116545053626,6
price_std,49.69077133441991,6
release,46.227464872533645,6
rolling_price_max_t365,48.745097110816054,6
rolling_price_std_t30,49.243895790131006,6
rolling_price_std_t7,48.51503320698728,6
seasonality,52.527340669493995,6
sell_price,46.89048426423554,6
shift_price_t1,46.315238946200935,6
snap_CA,40.150206773847344,6
snap_TX,40.4963474959467,6
snap_WI,44.808561434082435,6
state_id,42.70211289154864,6
store_id,48.657194846113,6
wday,48.7234053844778,6
week,50.9965051093626,6
weekofmonth,41.73945954536091,6
year,43.35774364240204,6
