feature,importance,fold
cat_id,40.018825472787626,6
day,39.40969977231161,6
dayofweek,40.18250758670739,6
days_from_release,42.81156787392387,6
demand_lag_28_0,41.51616927056458,6
demand_lag_28_14,34.82429666776535,6
demand_lag_28_21,35.71903467977017,6
demand_lag_28_28,41.32917189562869,6
demand_lag_28_7,36.978356298631795,6
demand_rolling_kurt_28_14,35.68083136545824,6
demand_rolling_kurt_28_21,35.02696523706865,6
demand_rolling_kurt_28_28,37.75840504124079,6
demand_rolling_kurt_28_7,35.24632149661495,6
demand_rolling_max_28_14,33.767724886234326,6
demand_rolling_max_28_21,34.4213754601447,6
demand_rolling_max_28_28,37.19511976286252,6
demand_rolling_max_28_7,35.16163563976805,6
demand_rolling_mean_28_14,44.53098339270435,6
demand_rolling_mean_28_21,52.17284184306017,6
demand_rolling_mean_28_28,56.81214431426136,6
demand_rolling_mean_28_7,44.583162305488955,6
demand_rolling_min_28_14,32.086433880352615,6
demand_rolling_min_28_21,30.349255051395055,6
demand_rolling_min_28_28,31.80697817846211,6
demand_rolling_min_28_7,33.285179842963,6
demand_rolling_skew_28_14,36.907363221621395,6
demand_rolling_skew_28_21,36.86424262062608,6
demand_rolling_skew_28_28,39.83426733602531,6
demand_rolling_skew_28_7,37.74346550422002,6
demand_rolling_std_28_14,40.877708752848406,6
demand_rolling_std_28_21,39.55126383124693,6
demand_rolling_std_28_28,46.858340453565965,6
demand_rolling_std_28_7,41.521538689381806,6
dept_id,43.30542918915229,6
event_name_1,33.29649800844181,6
event_name_2,13.207696112952947,6
event_type_1,31.30672081370777,6
event_type_2,12.586869984028151,6
is_NBA_final,30.245364107426667,6
is_blackfriday,27.706408346332612,6
is_chanukah,26.97548880048327,6
is_holiday_ca,24.67747139259444,6
is_holiday_tx,27.139720103632182,6
is_holiday_us,28.742771255833766,6
is_holiday_wi,27.690845886541176,6
is_lent,34.7396340904731,6
is_pesach,28.614491370293464,6
is_purim,17.10788099402391,6
is_ramadan,31.384829491067453,6
is_weekend,37.0993165329821,6
item_id,42.15771797793991,6
item_nunique,41.67958272569385,6
month,39.702372407495034,6
moon,33.13114752451247,6
price_change_t1,28.8971048192178,6
price_change_t365,39.31705995218557,6
price_max,42.684154395498254,6
price_mean,42.79459773441201,6
price_min,40.273375146373574,6
price_momentum,34.23530274115744,6
price_momentum_m,41.85274880888173,6
price_momentum_y,41.89087406609449,6
price_norm,41.115903883281305,6
price_nunique,39.694471487391255,6
price_std,41.66487359849896,6
release,40.33179047353963,6
rolling_price_max_t365,42.40536738756074,6
rolling_price_std_t30,43.69757134767215,6
rolling_price_std_t7,38.40970550050878,6
seasonality,43.139255402012616,6
sell_price,40.412064107228446,6
shift_price_t1,38.927038302169755,6
snap_CA,29.624328683133072,6
snap_TX,31.659288250049507,6
snap_WI,34.49222875284244,6
state_id,33.96028263723848,6
store_id,41.73533947855137,6
wday,41.92543976521405,6
week,42.42403031568615,6
weekofmonth,29.489838787959105,6
year,37.070724417104245,6
