feature,importance,fold
cat_id,33.785245961575235,6
day,43.61869095687885,6
dayofweek,44.79131818327628,6
days_from_release,42.616919913475726,6
demand_lag_28_0,44.90102178931724,6
demand_lag_28_14,44.80918682398089,6
demand_lag_28_21,44.64569259097176,6
demand_lag_28_28,45.15388859737959,6
demand_lag_28_7,44.8226306813773,6
demand_rolling_kurt_28_14,43.08563066934,6
demand_rolling_kurt_28_21,43.092848363010596,6
demand_rolling_kurt_28_28,43.51173408507002,6
demand_rolling_kurt_28_7,43.23413247607137,6
demand_rolling_max_28_14,43.29523018655632,6
demand_rolling_max_28_21,42.70725860383316,6
demand_rolling_max_28_28,43.227951068015024,6
demand_rolling_max_28_7,43.716113180242516,6
demand_rolling_mean_28_14,44.34602958848044,6
demand_rolling_mean_28_21,44.39863928753316,6
demand_rolling_mean_28_28,44.84761670677871,6
demand_rolling_mean_28_7,44.27630316106,6
demand_rolling_min_28_14,43.11673840272315,6
demand_rolling_min_28_21,42.85843378785688,6
demand_rolling_min_28_28,43.72145546247766,6
demand_rolling_min_28_7,44.087459738315,6
demand_rolling_skew_28_14,42.26165694155349,6
demand_rolling_skew_28_21,42.3637975863926,6
demand_rolling_skew_28_28,41.87442464406048,6
demand_rolling_skew_28_7,42.96434967794458,6
demand_rolling_std_28_14,40.59681187692898,6
demand_rolling_std_28_21,42.57367341831317,6
demand_rolling_std_28_28,46.48039190288118,6
demand_rolling_std_28_7,40.3868664453623,6
dept_id,41.312843872201626,6
event_name_1,38.93278579674375,6
event_name_2,15.358054271319162,6
event_type_1,39.20320508548494,6
event_type_2,8.535669447359805,6
is_NBA_final,31.573216383560016,6
is_blackfriday,35.78249819336159,6
is_chanukah,30.08881073123648,6
is_holiday_ca,30.190166663071857,6
is_holiday_tx,35.0004320646694,6
is_holiday_us,35.402841945668634,6
is_holiday_wi,30.692599726946106,6
is_lent,30.153759767948607,6
is_pesach,18.413237414133093,6
is_purim,0.0,6
is_ramadan,30.266637412487366,6
is_weekend,33.276206205309975,6
item_id,42.096378163555215,6
item_nunique,41.79458821120657,6
month,39.72486830224044,6
price_change_t1,31.418017753309197,6
price_change_t365,38.23342218613965,6
price_max,40.3996636513132,6
price_mean,40.43974320165225,6
price_min,39.797433891417484,6
price_momentum,39.80690925781075,6
price_momentum_m,40.583073932089874,6
price_momentum_y,40.293867062391556,6
price_norm,40.28624833887918,6
price_nunique,39.17216662125091,6
price_std,41.04468408330194,6
release,36.74638916861687,6
rolling_price_max_t365,39.79760782174187,6
rolling_price_std_t30,38.82005602537341,6
rolling_price_std_t7,38.36264743119264,6
seasonality,44.248890413756094,6
sell_price,40.98328107084241,6
shift_price_t1,37.96354354776703,6
snap_CA,35.595206026590795,6
snap_TX,38.26842149656411,6
snap_WI,39.71972030126428,6
state_id,37.32535043053637,6
store_id,42.62255465389853,6
wday,43.79031709859414,6
week,42.0667920455182,6
weekofmonth,36.974191834548684,6
year,34.04784036977118,6
