feature,importance,fold
day,49.35305779743113,6
dayofweek,48.90518031231663,6
days_from_release,51.66973842843106,6
demand_lag_28_0,53.132877304209195,6
demand_lag_28_14,48.664721524877,6
demand_lag_28_21,49.55230530032088,6
demand_lag_28_28,51.834178474718556,6
demand_lag_28_7,50.023494567022055,6
demand_rolling_kurt_28_14,47.71048163581132,6
demand_rolling_kurt_28_21,47.82084268879005,6
demand_rolling_kurt_28_28,48.17790344478291,6
demand_rolling_kurt_28_7,47.8605230176525,6
demand_rolling_max_28_14,48.07895259239571,6
demand_rolling_max_28_21,48.065052646758716,6
demand_rolling_max_28_28,49.5334336597361,6
demand_rolling_max_28_7,49.65886807747946,6
demand_rolling_mean_28_14,55.89803633383984,6
demand_rolling_mean_28_21,55.79468431117782,6
demand_rolling_mean_28_28,62.1250467594583,6
demand_rolling_mean_28_7,54.49713517916429,6
demand_rolling_min_28_14,46.64226643416734,6
demand_rolling_min_28_21,45.943255366866595,6
demand_rolling_min_28_28,47.9353862850312,6
demand_rolling_min_28_7,49.929125249021695,6
demand_rolling_skew_28_14,47.62302865107293,6
demand_rolling_skew_28_21,47.700144778185226,6
demand_rolling_skew_28_28,48.42842967891917,6
demand_rolling_skew_28_7,47.98820454817803,6
demand_rolling_std_28_14,47.054046690216886,6
demand_rolling_std_28_21,46.64699702710134,6
demand_rolling_std_28_28,50.04298198051129,6
demand_rolling_std_28_7,47.8621116072998,6
dept_id,42.288124833765934,6
event_name_1,42.84991647062755,6
event_name_2,33.10734823604582,6
event_type_1,39.623554345341134,6
event_type_2,27.386129419127272,6
is_NBA_final,41.073514437966864,6
is_blackfriday,31.9543570279288,6
is_chanukah,38.27565956576222,6
is_holiday_ca,33.272070342493876,6
is_holiday_tx,37.17860234636087,6
is_holiday_us,36.61891592809067,6
is_holiday_wi,39.596353195017414,6
is_lent,42.358707245573925,6
is_pesach,38.651678801424644,6
is_purim,30.04491736071668,6
is_ramadan,40.01631311112118,6
is_weekend,39.510615125231,6
item_id,50.25099756836235,6
item_nunique,49.497618030727025,6
month,48.70772627010864,6
price_change_t1,37.30294704564324,6
price_change_t365,47.9939743763621,6
price_max,48.314980903444045,6
price_mean,48.93201218339963,6
price_min,47.64294434658265,6
price_momentum,43.25370448152654,6
price_momentum_m,49.847573099717565,6
price_momentum_y,51.034150989777686,6
price_norm,48.83200276919485,6
price_nunique,49.378515415289826,6
price_std,50.173093331682686,6
release,46.73390682880941,6
rolling_price_max_t365,48.34556639419516,6
rolling_price_std_t30,49.54116173654555,6
rolling_price_std_t7,46.72824585308432,6
seasonality,52.78641949987358,6
sell_price,48.15667359408788,6
shift_price_t1,45.90897086544518,6
snap_CA,41.31497175903906,6
snap_TX,41.7530094013184,6
snap_WI,45.144551699746614,6
state_id,42.19341794075007,6
store_id,49.094886324005614,6
wday,50.23301435357466,6
week,51.09815883814109,6
weekofmonth,41.263200027138716,6
year,43.54799613615619,6
