feature,importance,fold
day,32.2301461853253,6
dayofweek,34.83049786605383,6
days_from_release,35.13366814380043,6
demand_lag_28_0,31.653528861247167,6
demand_lag_28_14,29.606351549236344,6
demand_lag_28_21,30.304271857977078,6
demand_lag_28_28,33.042870754174885,6
demand_lag_28_7,30.219021210302582,6
demand_rolling_kurt_28_14,30.75066985607074,6
demand_rolling_kurt_28_21,30.668133745650202,6
demand_rolling_kurt_28_28,31.15238460830025,6
demand_rolling_kurt_28_7,30.402102929107098,6
demand_rolling_max_28_14,27.802746165726614,6
demand_rolling_max_28_21,27.84635726245976,6
demand_rolling_max_28_28,29.791464607032324,6
demand_rolling_max_28_7,28.459652992748367,6
demand_rolling_mean_28_14,36.554632785098676,6
demand_rolling_mean_28_21,44.64147891124617,6
demand_rolling_mean_28_28,49.94443911618811,6
demand_rolling_mean_28_7,33.7828442332034,6
demand_rolling_min_28_14,17.41012486268587,6
demand_rolling_min_28_21,16.704336422626525,6
demand_rolling_min_28_28,13.870990066138667,6
demand_rolling_min_28_7,23.290458669534004,6
demand_rolling_skew_28_14,30.84220703489544,6
demand_rolling_skew_28_21,30.773069501444667,6
demand_rolling_skew_28_28,32.23975857569141,6
demand_rolling_skew_28_7,30.97164972714834,6
demand_rolling_std_28_14,33.28897395716215,6
demand_rolling_std_28_21,32.43423871304804,6
demand_rolling_std_28_28,36.26609383800521,6
demand_rolling_std_28_7,32.80370238367235,6
dept_id,32.917343962311,6
dept_id_state_id,29.46595665882289,6
dept_id_store_id,31.03838607466982,6
event_name_1,28.392293784111956,6
event_name_2,4.844927764468021,6
event_type_1,25.81304478755625,6
event_type_2,0.0,6
is_NBA_final,19.75210805110569,6
is_blackfriday,20.88689424050832,6
is_chanukah,18.715373240871966,6
is_holiday_ca,15.342819298253005,6
is_holiday_tx,23.77441738269993,6
is_holiday_us,20.890195772070452,6
is_holiday_wi,18.757060859714215,6
is_lent,25.08905620201098,6
is_pesach,20.321337856418047,6
is_purim,9.0758758398714,6
is_ramadan,23.292735686882853,6
is_weekend,24.91935757877221,6
item_id,34.7900525947509,6
item_id_state_id,32.92160282548922,6
item_id_store_id,33.2345655645079,6
item_nunique,33.92652274512472,6
iz_zero_ratio_28_14,27.93759797318769,6
iz_zero_ratio_28_21,29.607982977885783,6
iz_zero_ratio_28_28,31.860447730973934,6
iz_zero_ratio_28_7,26.76025107436213,6
month,32.56490281618497,6
moon,28.805645401996795,6
price_change_t1,16.764529601332153,6
price_change_t365,30.23530682303655,6
price_max,33.3941209087744,6
price_mean,34.23024085967565,6
price_min,34.3773988898557,6
price_momentum,24.582800863940815,6
price_momentum_m,34.32815061608145,6
price_momentum_y,33.70509169425809,6
price_norm,33.680445486672184,6
price_nunique,29.71091648203397,6
price_std,35.64883351182328,6
release,32.692790799472974,6
rolling_price_max_t365,33.99972297570213,6
rolling_price_std_t30,35.70008074057151,6
rolling_price_std_t7,30.995655940127193,6
seasonality,35.452779732414825,6
sell_price,33.56154485212278,6
shift_price_t1,31.034842244284334,6
snap_CA,22.734832371656594,6
snap_TX,23.551616266317115,6
snap_WI,22.963782822809556,6
state_id,25.00929544601071,6
store_id,32.106895620099635,6
wday,34.31651953346952,6
week,35.16620062741912,6
weekofmonth,23.001232122085263,6
year,28.927087237588456,6
