feature,importance,fold
cat_id,35.586237754983024,6
day,35.266012481202615,6
dayofweek,25.348994329696755,6
days_from_release,38.131119559647736,6
demand_lag_28_0,37.94226718223297,6
demand_lag_28_14,31.828061977323284,6
demand_lag_28_21,32.857315939365,6
demand_lag_28_28,38.5116855286554,6
demand_lag_28_7,33.25802751086114,6
demand_rolling_kurt_28_14,32.0728102728692,6
demand_rolling_kurt_28_21,31.310882449774304,6
demand_rolling_kurt_28_28,33.20220053675041,6
demand_rolling_kurt_28_7,31.55803814657767,6
demand_rolling_max_28_14,29.41472668899342,6
demand_rolling_max_28_21,29.84099851717989,6
demand_rolling_max_28_28,32.53123405308769,6
demand_rolling_max_28_7,30.587748637691554,6
demand_rolling_mean_28_14,44.7414811664572,6
demand_rolling_mean_28_21,50.004010697111376,6
demand_rolling_mean_28_28,53.173021022843486,6
demand_rolling_mean_28_7,40.42530637631582,6
demand_rolling_min_28_14,26.76511570774748,6
demand_rolling_min_28_21,26.192475046794247,6
demand_rolling_min_28_28,25.792848110420596,6
demand_rolling_min_28_7,29.062887750504736,6
demand_rolling_skew_28_14,33.64665832050699,6
demand_rolling_skew_28_21,33.08493926179426,6
demand_rolling_skew_28_28,36.15087895137745,6
demand_rolling_skew_28_7,34.347697833154456,6
demand_rolling_std_28_14,37.49565420259425,6
demand_rolling_std_28_21,38.91949028675463,6
demand_rolling_std_28_28,42.62489711149859,6
demand_rolling_std_28_7,37.801654232470696,6
dept_id,40.30033885560479,6
event_name_1,28.709873613644262,6
event_name_2,18.30413440780407,6
event_type_1,30.77418534045822,6
event_type_2,10.707221432380344,6
is_NBA_final,25.66151880204452,6
is_blackfriday,0.0,6
is_chanukah,21.61209940583514,6
is_holiday_ca,21.2257403350796,6
is_holiday_tx,18.751437359601503,6
is_holiday_us,5.092258314166918,6
is_holiday_wi,15.028778088918113,6
is_lent,29.403218320388497,6
is_pesach,24.857397661701764,6
is_purim,7.092934667684696,6
is_ramadan,25.554846986092706,6
is_weekend,0.0,6
item_id,37.621228328496194,6
item_nunique,37.01326665367715,6
month,35.19499103621245,6
moon,28.581862016720805,6
price_change_t1,24.99649643010072,6
price_change_t365,35.222323210765964,6
price_max,38.46646226111204,6
price_mean,39.76682070351992,6
price_min,36.10566150381916,6
price_momentum,31.9191569224306,6
price_momentum_m,37.34431856209023,6
price_momentum_y,37.64271739535258,6
price_norm,37.31838864391126,6
price_nunique,35.149631610893834,6
price_std,37.53058482975946,6
release,35.800679192307314,6
rolling_price_max_t365,38.34264850444785,6
rolling_price_std_t30,40.209829709863335,6
rolling_price_std_t7,36.100830559657915,6
seasonality,38.067190737081525,6
sell_price,35.865861750076924,6
shift_price_t1,34.630695409434935,6
snap_CA,24.43702938523834,6
snap_TX,26.285205621710265,6
snap_WI,30.59282846842257,6
state_id,30.824540098329912,6
store_id,38.455280698908666,6
wday,31.130067738986405,6
week,38.460778116269374,6
weekofmonth,26.237889666314345,6
year,32.58367838790951,6
