feature,importance,fold
day,42.895110744937305,6
dayofweek,43.9764359048365,6
days_from_release,44.05025795546784,6
demand_lag_28_0,43.116708482175355,6
demand_lag_28_14,40.99166032582061,6
demand_lag_28_21,41.328184203725726,6
demand_lag_28_28,43.96222625280595,6
demand_lag_28_7,41.48621837976754,6
demand_rolling_kurt_28_14,39.98002326620644,6
demand_rolling_kurt_28_21,40.58941858127989,6
demand_rolling_kurt_28_28,41.20593256400169,6
demand_rolling_kurt_28_7,40.70165308360296,6
demand_rolling_max_28_14,39.774174605124145,6
demand_rolling_max_28_21,40.43752880463773,6
demand_rolling_max_28_28,42.208223716817244,6
demand_rolling_max_28_7,40.84283003701514,6
demand_rolling_mean_28_14,49.18082184300238,6
demand_rolling_mean_28_21,51.97816174486795,6
demand_rolling_mean_28_28,55.91667683592196,6
demand_rolling_mean_28_7,46.97326509197765,6
demand_rolling_min_28_14,38.31687204652243,6
demand_rolling_min_28_21,39.84842656022316,6
demand_rolling_min_28_28,38.7189636147326,6
demand_rolling_min_28_7,39.05185253414424,6
demand_rolling_skew_28_14,39.75333824635939,6
demand_rolling_skew_28_21,40.62913059495755,6
demand_rolling_skew_28_28,41.44290764931715,6
demand_rolling_skew_28_7,41.50282605503243,6
demand_rolling_std_28_14,39.99178019980583,6
demand_rolling_std_28_21,40.215700296221904,6
demand_rolling_std_28_28,42.498543116058904,6
demand_rolling_std_28_7,41.169814692690906,6
dept_id,38.04323870255114,6
event_name_1,37.304150444368545,6
event_name_2,13.805826354204774,6
event_type_1,35.85590167618621,6
event_type_2,5.952877016630945,6
is_NBA_final,29.942413543285966,6
is_blackfriday,13.38276239708434,6
is_chanukah,22.307261516685706,6
is_holiday_ca,28.929012784974088,6
is_holiday_tx,26.445508229972095,6
is_holiday_us,30.222406601409237,6
is_holiday_wi,30.11981871032482,6
is_lent,35.10752492918061,6
is_pesach,30.19144555822905,6
is_purim,27.841855029651022,6
is_ramadan,32.36324061694178,6
is_weekend,36.47600244278271,6
item_id,42.292423404980696,6
item_nunique,41.58969651874023,6
month,40.420294296274676,6
moon,39.70022841384632,6
price_change_t1,23.068659254671026,6
price_change_t365,36.678497113908755,6
price_max,38.20619912053379,6
price_mean,41.21892999612769,6
price_min,39.97512638814392,6
price_momentum,29.522159246425055,6
price_momentum_m,41.18234770492822,6
price_momentum_y,40.80263216460556,6
price_norm,38.426934709964314,6
price_nunique,38.29875706328248,6
price_std,41.28304904302071,6
release,40.86461114129355,6
rolling_price_max_t365,40.19264290553367,6
rolling_price_std_t30,40.01482850720837,6
rolling_price_std_t7,35.03747652543858,6
seasonality,45.049939736995796,6
sell_price,39.24367368240375,6
shift_price_t1,37.43055318028666,6
snap_CA,33.462659122942576,6
snap_TX,33.811468559832115,6
snap_WI,35.22669953161922,6
state_id,36.84491582477351,6
store_id,42.931952398291855,6
wday,44.855571923861376,6
week,43.912635089460586,6
weekofmonth,35.228058942132336,6
year,38.91442052125877,6
