feature,importance,fold
cat_id,38.41633515846961,6
day,38.714717179500795,6
dayofweek,32.5057555543314,6
days_from_release,41.75400421388392,6
demand_lag_28_0,39.56588878195374,6
demand_lag_28_14,33.7131023498217,6
demand_lag_28_21,35.07593663113491,6
demand_lag_28_28,39.58952932571621,6
demand_lag_28_7,35.278411746760995,6
demand_rolling_kurt_28_14,35.17523657398044,6
demand_rolling_kurt_28_21,34.87899553770174,6
demand_rolling_kurt_28_28,37.14398017096499,6
demand_rolling_kurt_28_7,34.60272875842655,6
demand_rolling_max_28_14,33.369676635599504,6
demand_rolling_max_28_21,33.69729508193924,6
demand_rolling_max_28_28,36.31703711205613,6
demand_rolling_max_28_7,34.39890887658461,6
demand_rolling_mean_28_14,48.183375208897644,6
demand_rolling_mean_28_21,52.191212311827854,6
demand_rolling_mean_28_28,54.94990917514204,6
demand_rolling_mean_28_7,43.30886758572622,6
demand_rolling_min_28_14,31.27208909477796,6
demand_rolling_min_28_21,29.991545249086126,6
demand_rolling_min_28_28,31.18103999758725,6
demand_rolling_min_28_7,33.130347680590305,6
demand_rolling_skew_28_14,36.36069992358701,6
demand_rolling_skew_28_21,36.283889559182796,6
demand_rolling_skew_28_28,39.07550241271125,6
demand_rolling_skew_28_7,37.16963047591237,6
demand_rolling_std_28_14,39.77228815543431,6
demand_rolling_std_28_21,38.40658861961075,6
demand_rolling_std_28_28,46.210348560247006,6
demand_rolling_std_28_7,40.533749836895474,6
dept_id,42.16893454104288,6
event_name_1,32.39541564231354,6
event_name_2,0.0,6
event_type_1,28.985471004157358,6
event_type_2,0.0,6
is_NBA_final,29.28891403462299,6
is_blackfriday,29.658296628811538,6
is_chanukah,26.10335121800626,6
is_holiday_ca,24.742484741648312,6
is_holiday_tx,27.417983255471473,6
is_holiday_us,30.23838558917177,6
is_holiday_wi,28.54980834056743,6
is_lent,33.23635673256214,6
is_pesach,26.185685253405985,6
is_purim,18.892557380143465,6
is_ramadan,30.344610395592056,6
is_weekend,0.0,6
item_id,41.33940387733892,6
item_nunique,40.423472614512455,6
month,38.368805237174115,6
moon,32.97179909298316,6
price_change_t1,0.0,6
price_change_t365,38.08897047934964,6
price_max,41.38200184212536,6
price_mean,42.041497349158064,6
price_min,39.143889101187874,6
price_momentum,33.18042639746911,6
price_momentum_m,40.67578078967729,6
price_momentum_y,40.704528604752966,6
price_norm,40.20638529652726,6
price_nunique,38.81722990398018,6
price_std,40.551381358383445,6
release,39.10252168475721,6
rolling_price_max_t365,40.870768551002186,6
rolling_price_std_t30,42.68569973044215,6
rolling_price_std_t7,36.69001731453153,6
seasonality,41.99944293346799,6
sell_price,40.117157882586916,6
shift_price_t1,33.143089171005826,6
snap_CA,29.021885685489373,6
snap_TX,31.975800559329794,6
snap_WI,34.37631031916695,6
state_id,32.648753080054874,6
store_id,40.46982627947249,6
wday,36.94864654338967,6
week,41.154126325589424,6
weekofmonth,30.383490394345465,6
year,35.77581306608653,6
