feature,importance,fold
cat_id,10.780918320046519,1
day,14.570382693458415,1
dayofweek,14.566058484346176,1
days_from_release,14.37040086845856,1
demand_lag_28_0,15.038886869304458,1
demand_lag_28_14,14.872893526030882,1
demand_lag_28_21,14.902299333100608,1
demand_lag_28_28,14.940958438966618,1
demand_lag_28_7,15.028195276926196,1
demand_rolling_kurt_28_14,14.473136008037734,1
demand_rolling_kurt_28_21,14.438141712845155,1
demand_rolling_kurt_28_28,14.698102527220481,1
demand_rolling_kurt_28_7,14.525665658699534,1
demand_rolling_max_28_14,14.438297956449128,1
demand_rolling_max_28_21,14.211892956683435,1
demand_rolling_max_28_28,14.605884317805506,1
demand_rolling_max_28_7,14.625915338203225,1
demand_rolling_mean_28_14,14.879149353908655,1
demand_rolling_mean_28_21,14.652301728463579,1
demand_rolling_mean_28_28,14.966699139406817,1
demand_rolling_mean_28_7,14.85954937076977,1
demand_rolling_min_28_14,14.509941390014273,1
demand_rolling_min_28_21,14.239627507842771,1
demand_rolling_min_28_28,14.56802605238705,1
demand_rolling_min_28_7,14.660078684908509,1
demand_rolling_skew_28_14,14.216028904038744,1
demand_rolling_skew_28_21,14.104687607823978,1
demand_rolling_skew_28_28,14.093318053661399,1
demand_rolling_skew_28_7,14.401477793235658,1
demand_rolling_std_28_14,13.40904140892733,1
demand_rolling_std_28_21,14.272417527273735,1
demand_rolling_std_28_28,15.424919001867258,1
demand_rolling_std_28_7,13.441289909731914,1
dept_id,13.727508796796297,1
event_name_1,13.068931848658151,1
event_name_2,0.0,1
event_type_1,13.066344587412594,1
event_type_2,0.0,1
is_NBA_final,10.949654115358783,1
is_blackfriday,12.025833207463629,1
is_chanukah,9.041756037710188,1
is_holiday_ca,10.611327250173257,1
is_holiday_tx,11.845053639735655,1
is_holiday_us,11.62243328759444,1
is_holiday_wi,10.382928394876673,1
is_lent,9.92801429056596,1
is_pesach,8.874127530420099,1
is_purim,0.0,1
is_ramadan,9.766576144659648,1
is_weekend,11.44324960360235,1
item_id,14.25257040211124,1
item_nunique,14.11038803671751,1
month,13.264492770229717,1
price_change_t1,10.750541516562286,1
price_change_t365,12.494348049311357,1
price_max,13.674193585734841,1
price_mean,13.41276923962551,1
price_min,13.009124630767566,1
price_momentum,12.79681548926622,1
price_momentum_m,13.577000432649807,1
price_momentum_y,13.285326971891159,1
price_norm,13.206929662101537,1
price_nunique,13.233519389157772,1
price_std,13.983422660373682,1
release,12.863456357459441,1
rolling_price_max_t365,13.090968841921123,1
rolling_price_std_t30,12.521742415801057,1
rolling_price_std_t7,12.260231303146078,1
seasonality,14.78707819351101,1
sell_price,13.956495794566312,1
shift_price_t1,12.27489997084441,1
snap_CA,11.792711467937226,1
snap_TX,12.688369617202767,1
snap_WI,13.378767468232002,1
state_id,12.383703214485323,1
store_id,14.37413079452488,1
wday,14.898740417971345,1
week,14.224177495718997,1
weekofmonth,12.150889596589339,1
year,11.481557738683444,1
