feature,importance,fold
cat_id,67.61027543880773,15
day,81.15814309678923,15
dayofweek,81.2254715765942,15
days_from_release,84.74134779921053,15
demand_rolling_kurt_28_14,79.80597812780263,15
demand_rolling_kurt_28_21,79.75955904408505,15
demand_rolling_kurt_28_28,80.52756352883696,15
demand_rolling_kurt_28_7,80.05576246777161,15
demand_rolling_max_28_14,78.6688111323921,15
demand_rolling_max_28_21,78.72685397890888,15
demand_rolling_max_28_28,81.03722922922391,15
demand_rolling_max_28_7,78.97995084456785,15
demand_rolling_mean_28_14,96.85605457435585,15
demand_rolling_mean_28_21,87.78569163937559,15
demand_rolling_mean_28_28,98.03376697618049,15
demand_rolling_mean_28_7,92.84352695739341,15
demand_rolling_min_28_14,76.94587169590025,15
demand_rolling_min_28_21,76.82120824533479,15
demand_rolling_min_28_28,78.24507792069292,15
demand_rolling_min_28_7,79.9615686844905,15
demand_rolling_skew_28_14,79.59581917803929,15
demand_rolling_skew_28_21,79.44339644748366,15
demand_rolling_skew_28_28,80.54458135385144,15
demand_rolling_skew_28_7,80.25243229983067,15
demand_rolling_std_28_14,76.8441971380402,15
demand_rolling_std_28_21,75.7210486547846,15
demand_rolling_std_28_28,80.21184562815164,15
demand_rolling_std_28_7,78.98567381865982,15
dept_id,75.84747882751509,15
event_name_1,70.5845254926139,15
event_name_2,41.48772621849448,15
event_type_1,65.71367261272269,15
event_type_2,41.47185746124496,15
is_NBA_final,65.19324353885517,15
is_blackfriday,52.1022769676182,15
is_chanukah,61.2183620025901,15
is_holiday_ca,56.8085494892897,15
is_holiday_tx,61.099132191591366,15
is_holiday_us,59.8837194483179,15
is_holiday_wi,63.97848228193733,15
is_lent,68.09070028560203,15
is_pesach,62.17294381523864,15
is_purim,52.36138608654957,15
is_ramadan,65.17857383203918,15
is_weekend,62.3628111686345,15
item_id,83.73878711087262,15
item_nunique,82.02348702562567,15
month,77.09901119481228,15
price_change_t1,59.85889913675369,15
price_change_t365,76.7323324247966,15
price_max,79.71318272232338,15
price_mean,78.77658213710396,15
price_min,77.11631477217492,15
price_momentum,69.3827282869052,15
price_momentum_m,81.70173083030795,15
price_momentum_y,81.8399587882578,15
price_norm,80.17553697610131,15
price_nunique,79.06203561269596,15
price_std,82.63946956202145,15
release,77.88795204576877,15
rolling_price_max_t365,80.20710449756604,15
rolling_price_std_t30,79.96305385458075,15
rolling_price_std_t7,79.24649286591112,15
seasonality,85.67215696550639,15
sell_price,79.02273637532674,15
shift_price_t1,74.28558507038632,15
snap_CA,66.37345038325451,15
snap_TX,68.90506716172126,15
snap_WI,72.73304810615066,15
state_id,70.65066661025409,15
store_id,81.26924692676187,15
wday,83.9733913221003,15
week,82.98973343322889,15
weekofmonth,68.47836425519193,15
year,72.83603507739898,15
