feature,importance,fold
cat_id,59.60602008889535,15
day,66.70062680936293,15
dayofweek,65.67449791905511,15
days_from_release,65.24655766049325,15
demand_rolling_kurt_7_14,56.342788979503545,15
demand_rolling_kurt_7_21,56.17996265798352,15
demand_rolling_kurt_7_28,59.37352727549769,15
demand_rolling_kurt_7_7,56.363923675788655,15
demand_rolling_max_7_14,53.7366485408196,15
demand_rolling_max_7_21,54.85536413565439,15
demand_rolling_max_7_28,60.40296630714068,15
demand_rolling_max_7_7,58.405612237064396,15
demand_rolling_mean_7_14,89.26915258496305,15
demand_rolling_mean_7_21,86.13970746501106,15
demand_rolling_mean_7_28,84.80165358099734,15
demand_rolling_mean_7_7,83.59664529314284,15
demand_rolling_min_7_14,47.92966808129416,15
demand_rolling_min_7_21,49.109900665623755,15
demand_rolling_min_7_28,47.03803519260026,15
demand_rolling_min_7_7,56.56031718349212,15
demand_rolling_skew_7_14,58.27581876311825,15
demand_rolling_skew_7_21,59.27112872038322,15
demand_rolling_skew_7_28,61.923388887976216,15
demand_rolling_skew_7_7,58.4266470184905,15
demand_rolling_std_7_14,66.54233827904697,15
demand_rolling_std_7_21,62.406457448786604,15
demand_rolling_std_7_28,73.04289284739461,15
demand_rolling_std_7_7,67.05389976299152,15
dept_id,68.11960261951138,15
event_name_1,53.31687587657963,15
event_name_2,28.820034665170013,15
event_type_1,50.723826292299435,15
event_type_2,15.673172825170836,15
is_NBA_final,50.3468383543518,15
is_blackfriday,44.98012918140211,15
is_chanukah,45.54862838729014,15
is_holiday_ca,40.39778831450063,15
is_holiday_tx,43.566117589954054,15
is_holiday_us,47.89658423128762,15
is_holiday_wi,44.438177105260905,15
is_lent,51.892309915522134,15
is_pesach,46.775476669351015,15
is_purim,22.262308342744802,15
is_ramadan,48.29187032187732,15
is_weekend,61.53203727715153,15
item_id,65.84711021663144,15
item_nunique,63.55357927265203,15
month,59.44013579718679,15
moon,57.55029710484905,15
price_change_t1,47.36671202658248,15
price_change_t365,57.98806766342739,15
price_max,67.03879764909597,15
price_mean,64.60719713063592,15
price_min,62.18402633064236,15
price_momentum,59.12603154478293,15
price_momentum_m,64.41269721524336,15
price_momentum_y,63.5076307428256,15
price_norm,63.52938092313133,15
price_nunique,62.60916010889962,15
price_std,64.07778759325494,15
release,61.84650211846584,15
rolling_price_max_t365,63.74238916997963,15
rolling_price_std_t30,67.55341786780579,15
rolling_price_std_t7,60.53427580183876,15
seasonality,67.13265360945462,15
sell_price,63.03414004741704,15
shift_price_t1,62.02313513086118,15
snap_CA,50.61506803520064,15
snap_TX,51.94226746942609,15
snap_WI,57.036455597312695,15
state_id,54.1383656851002,15
store_id,66.06834147304684,15
wday,68.5423503975049,15
week,66.52274622397265,15
weekofmonth,50.46388029630968,15
year,56.80188807888228,15
