feature,importance,fold
day,57.939549247222246,15
dayofweek,57.84355797640732,15
days_from_release,64.80269762624562,15
demand_rolling_kurt_28_14,51.776381703939144,15
demand_rolling_kurt_28_21,52.63911519285728,15
demand_rolling_kurt_28_28,54.9266464064645,15
demand_rolling_kurt_28_7,51.90813120460915,15
demand_rolling_max_28_14,50.30655332781523,15
demand_rolling_max_28_21,51.62242754388886,15
demand_rolling_max_28_28,56.71041840770819,15
demand_rolling_max_28_7,52.21633392027258,15
demand_rolling_mean_28_14,71.94929344900802,15
demand_rolling_mean_28_21,84.14306148468265,15
demand_rolling_mean_28_28,79.02870329089033,15
demand_rolling_mean_28_7,71.6025817517201,15
demand_rolling_min_28_14,48.12400073480911,15
demand_rolling_min_28_21,46.217836224479285,15
demand_rolling_min_28_28,48.17146793726772,15
demand_rolling_min_28_7,50.72245874780627,15
demand_rolling_skew_28_14,53.97858116615991,15
demand_rolling_skew_28_21,55.463821650996266,15
demand_rolling_skew_28_28,58.670669578514186,15
demand_rolling_skew_28_7,54.7613180353796,15
demand_rolling_std_28_14,60.02062982170468,15
demand_rolling_std_28_21,64.6841006016715,15
demand_rolling_std_28_28,69.23765044355284,15
demand_rolling_std_28_7,61.245326535481574,15
dept_id,57.325662676900464,15
event_name_1,45.624676062473355,15
event_name_2,19.320868669651023,15
event_type_1,43.89274421379821,15
event_type_2,18.373420365514075,15
is_NBA_final,44.45307529577633,15
is_blackfriday,38.58074122920793,15
is_chanukah,39.35034724071381,15
is_holiday_ca,33.89513044162755,15
is_holiday_tx,37.28036201969418,15
is_holiday_us,38.970736134656626,15
is_holiday_wi,39.390268051249365,15
is_lent,48.781439403893394,15
is_pesach,40.86441307803605,15
is_purim,14.296931690380287,15
is_ramadan,44.160598192621954,15
is_weekend,36.95081660111458,15
item_id,64.8107911262815,15
item_nunique,62.49437333458848,15
month,58.51338397565583,15
moon,48.84731653900896,15
price_change_t1,43.477253646588906,15
price_change_t365,57.25022944864873,15
price_max,65.28140839902775,15
price_mean,63.49286051835225,15
price_min,60.21462956837673,15
price_momentum,51.06551205466364,15
price_momentum_m,63.04611862097482,15
price_momentum_y,62.83957059883836,15
price_norm,61.30701202839805,15
price_nunique,59.44357986809633,15
price_std,62.61477652156978,15
release,60.362065505624024,15
rolling_price_max_t365,62.821302375244414,15
rolling_price_std_t30,63.11499598690351,15
rolling_price_std_t7,56.52799012227329,15
seasonality,63.66106556650104,15
sell_price,59.8096325637373,15
shift_price_t1,58.71341984931413,15
snap_CA,43.44194717236896,15
snap_TX,46.35243112820096,15
snap_WI,51.25068652362214,15
state_id,53.361175355558416,15
store_id,61.653251235947735,15
wday,62.80990441680443,15
week,63.52096627868745,15
weekofmonth,48.73664223376997,15
year,55.87429013541757,15
