feature,importance,fold
day,53.4756064438001,15
dayofweek,57.21966407393734,15
days_from_release,57.53119936079953,15
demand_rolling_kurt_28_14,51.58768789574027,15
demand_rolling_kurt_28_21,51.18711227806251,15
demand_rolling_kurt_28_28,52.46999594893675,15
demand_rolling_kurt_28_7,52.10262554487198,15
demand_rolling_max_28_14,46.86113767418852,15
demand_rolling_max_28_21,47.483126440744385,15
demand_rolling_max_28_28,49.62929140088402,15
demand_rolling_max_28_7,46.57248985433852,15
demand_rolling_mean_28_14,65.88359189399962,15
demand_rolling_mean_28_21,71.712858106882,15
demand_rolling_mean_28_28,82.10795243341593,15
demand_rolling_mean_28_7,56.31578974675848,15
demand_rolling_min_28_14,31.676390639777143,15
demand_rolling_min_28_21,28.524509742163307,15
demand_rolling_min_28_28,23.937709465150125,15
demand_rolling_min_28_7,38.23019953970543,15
demand_rolling_skew_28_14,51.93133065517871,15
demand_rolling_skew_28_21,51.709068371604324,15
demand_rolling_skew_28_28,53.69966762356797,15
demand_rolling_skew_28_7,52.05575055652694,15
demand_rolling_std_28_14,54.9848689916317,15
demand_rolling_std_28_21,52.83040731481766,15
demand_rolling_std_28_28,62.62484800579716,15
demand_rolling_std_28_7,54.11690734674481,15
dept_id,53.80243745904298,15
dept_id_state_id,48.03320034898211,15
dept_id_store_id,50.79226164656673,15
event_name_1,47.467759100360944,15
event_name_2,3.2537911269499005,15
event_type_1,43.10876473957956,15
event_type_2,0.0,15
is_NBA_final,30.611517831885806,15
is_blackfriday,34.15980715226512,15
is_chanukah,29.936732767939922,15
is_holiday_ca,29.51984951089488,15
is_holiday_tx,38.82760271315659,15
is_holiday_us,32.47040774765448,15
is_holiday_wi,28.268852734943668,15
is_lent,40.83308938410126,15
is_pesach,36.98330557082252,15
is_purim,21.439719698744184,15
is_ramadan,36.146243632110526,15
is_weekend,44.161082363068246,15
item_id,57.354338237092946,15
item_id_state_id,54.51845475929082,15
item_id_store_id,55.35743053494042,15
item_nunique,56.213789954688124,15
iz_zero_ratio_28_14,46.555178635961,15
iz_zero_ratio_28_21,48.939390123464605,15
iz_zero_ratio_28_28,54.35864146706853,15
iz_zero_ratio_28_7,44.725007849524204,15
month,53.597684083594956,15
moon,47.96306824489411,15
price_change_t1,23.55483602528001,15
price_change_t365,48.57245698072517,15
price_max,53.94028040898721,15
price_mean,56.478754155723756,15
price_min,55.51185234016457,15
price_momentum,39.410003902388254,15
price_momentum_m,55.686393084183564,15
price_momentum_y,55.42353885392681,15
price_norm,55.137268469183475,15
price_nunique,48.87773100636188,15
price_std,57.59614974580319,15
release,53.14216600702215,15
rolling_price_max_t365,56.726895282337324,15
rolling_price_std_t30,58.217710516565084,15
rolling_price_std_t7,51.44008404979729,15
seasonality,58.35753388436211,15
sell_price,54.69774773012513,15
shift_price_t1,50.642082622553886,15
snap_CA,37.54789738331881,15
snap_TX,39.528985385717654,15
snap_WI,39.401448714121166,15
state_id,36.98282684186768,15
store_id,53.67215192433479,15
wday,56.47742566689135,15
week,57.36028077773914,15
weekofmonth,38.90507674847608,15
year,47.60570549907794,15
