feature,importance,fold
cat_id,59.76946374011651,15
day,59.78952098259998,15
dayofweek,45.42608292303533,15
days_from_release,64.61854327295605,15
demand_rolling_kurt_28_14,55.675100090067005,15
demand_rolling_kurt_28_21,54.98660073871998,15
demand_rolling_kurt_28_28,57.917876818492935,15
demand_rolling_kurt_28_7,54.78740357593887,15
demand_rolling_max_28_14,51.205032613734524,15
demand_rolling_max_28_21,51.904651668126746,15
demand_rolling_max_28_28,57.84051485458276,15
demand_rolling_max_28_7,51.88818107519529,15
demand_rolling_mean_28_14,72.45382080745556,15
demand_rolling_mean_28_21,78.28200008479091,15
demand_rolling_mean_28_28,88.35821300182327,15
demand_rolling_mean_28_7,67.37893865925045,15
demand_rolling_min_28_14,46.349753544711,15
demand_rolling_min_28_21,44.814036598028395,15
demand_rolling_min_28_28,46.1559011015716,15
demand_rolling_min_28_7,47.8518156447794,15
demand_rolling_skew_28_14,57.30184785616884,15
demand_rolling_skew_28_21,57.20509898456112,15
demand_rolling_skew_28_28,60.68335632817126,15
demand_rolling_skew_28_7,57.69899003153005,15
demand_rolling_std_28_14,61.85780733859098,15
demand_rolling_std_28_21,60.668249127224925,15
demand_rolling_std_28_28,69.20078144688951,15
demand_rolling_std_28_7,62.487027413565,15
dept_id,66.32529815233202,15
dept_id_state_id,56.50276351869555,15
dept_id_store_id,61.18056658157124,15
event_name_1,49.81806318552129,15
event_name_2,14.860969349414985,15
event_type_1,50.81799485141247,15
event_type_2,13.129636961090839,15
is_NBA_final,44.62691886410208,15
is_blackfriday,0.0,15
is_chanukah,35.26462253728234,15
is_holiday_ca,30.200442831112998,15
is_holiday_tx,28.584868301766967,15
is_holiday_us,25.111711690288335,15
is_holiday_wi,22.448641994616708,15
is_lent,49.39478204479613,15
is_pesach,32.29559504720334,15
is_purim,0.0,15
is_ramadan,44.946434958708466,15
is_weekend,0.0,15
item_id,63.431764690699914,15
item_id_state_id,58.81428573506436,15
item_id_store_id,59.331823715357096,15
item_nunique,62.859492533384014,15
iz_zero_ratio_28_14,54.84326341846246,15
iz_zero_ratio_28_21,58.36715999399526,15
iz_zero_ratio_28_28,62.99503985421243,15
iz_zero_ratio_28_7,50.81817848247335,15
month,60.25880208177375,15
moon,51.86581323531844,15
price_change_t1,44.962077135540774,15
price_change_t365,59.064425340700424,15
price_max,64.88941573108346,15
price_mean,65.14780857368594,15
price_min,61.362292341213944,15
price_momentum,52.1883210758205,15
price_momentum_m,63.09724153889799,15
price_momentum_y,63.3099177148439,15
price_norm,62.64046038639264,15
price_nunique,59.44565422239731,15
price_std,63.33578462180833,15
release,60.23222478480351,15
rolling_price_max_t365,63.76899479493317,15
rolling_price_std_t30,66.06523879123789,15
rolling_price_std_t7,59.973272923567976,15
seasonality,64.8343214816886,15
sell_price,61.00586867877463,15
shift_price_t1,58.43320904393012,15
snap_CA,45.40937320979867,15
snap_TX,47.41915282274018,15
snap_WI,51.34111229891977,15
state_id,44.144620502075156,15
store_id,60.7590774042242,15
wday,53.137347009756255,15
week,64.22785154003307,15
weekofmonth,44.87863049841172,15
year,56.41335727444381,15
