feature,importance,fold
day,56.78679941442601,15
dayofweek,62.16593682379782,15
days_from_release,63.14664597491783,15
demand_rolling_kurt_28_14,52.08145974769687,15
demand_rolling_kurt_28_21,52.181409216192684,15
demand_rolling_kurt_28_28,55.68834984586383,15
demand_rolling_kurt_28_7,51.24150454202847,15
demand_rolling_max_28_14,48.5302238422872,15
demand_rolling_max_28_21,49.30658240328367,15
demand_rolling_max_28_28,53.00427275575289,15
demand_rolling_max_28_7,49.57205259478699,15
demand_rolling_mean_28_14,79.55805884040922,15
demand_rolling_mean_28_21,80.52596039467618,15
demand_rolling_mean_28_28,80.61808652763864,15
demand_rolling_mean_28_7,73.49038531536273,15
demand_rolling_min_28_14,43.53715114314213,15
demand_rolling_min_28_21,44.15042285895977,15
demand_rolling_min_28_28,43.315663989775985,15
demand_rolling_min_28_7,44.59395441363626,15
demand_rolling_skew_28_14,53.98733972105436,15
demand_rolling_skew_28_21,54.473951320090634,15
demand_rolling_skew_28_28,58.192831146814925,15
demand_rolling_skew_28_7,53.56652495415987,15
demand_rolling_std_28_14,60.40777356647081,15
demand_rolling_std_28_21,65.05164467124331,15
demand_rolling_std_28_28,64.53101946597216,15
demand_rolling_std_28_7,59.58848168777859,15
dept_id,63.6627949756763,15
event_name_1,48.90934517848646,15
event_name_2,20.451296024442993,15
event_type_1,47.79528295337718,15
event_type_2,20.95590469849909,15
is_NBA_final,40.75494804158663,15
is_blackfriday,31.89690998503755,15
is_chanukah,34.812320025142185,15
is_holiday_ca,35.446556031436344,15
is_holiday_tx,36.05556376725118,15
is_holiday_us,41.381456825576116,15
is_holiday_wi,37.88565629660047,15
is_lent,48.929358466806896,15
is_pesach,37.114661121309055,15
is_purim,31.741290071403455,15
is_ramadan,44.87630183319524,15
is_weekend,42.50858823691378,15
item_id,63.63089376333909,15
item_nunique,61.48008501294704,15
month,55.57630194891174,15
moon,50.35305156237969,15
price_change_t1,37.90112426325224,15
price_change_t365,54.383724810037606,15
price_max,60.52168450495975,15
price_mean,62.946830134745554,15
price_min,59.56097436911264,15
price_momentum,48.09907524292561,15
price_momentum_m,61.35413307082721,15
price_momentum_y,59.113284963614674,15
price_norm,59.10466909836933,15
price_nunique,54.104191814866866,15
price_std,60.09381895645129,15
release,61.27491303002011,15
rolling_price_max_t365,59.77982080741354,15
rolling_price_std_t30,60.75801402855057,15
rolling_price_std_t7,54.71798667390806,15
seasonality,62.92505964572783,15
sell_price,61.56791707554238,15
shift_price_t1,58.675004453331226,15
snap_CA,41.235040265557025,15
snap_TX,39.42104455070826,15
snap_WI,38.68516667286213,15
state_id,49.10176852255777,15
store_id,62.069061929274724,15
wday,63.422721776061024,15
week,61.58096378840957,15
weekofmonth,43.1165435026067,15
year,54.454985368240436,15
