feature,importance,fold
cat_id,65.38798903144902,15
day,64.74765871837496,15
dayofweek,54.065462192488155,15
days_from_release,69.47098885107083,15
demand_rolling_kurt_28_14,60.08413247957267,15
demand_rolling_kurt_28_21,60.38988624690942,15
demand_rolling_kurt_28_28,62.64431030614753,15
demand_rolling_kurt_28_7,60.000047725276126,15
demand_rolling_max_28_14,56.28403735735076,15
demand_rolling_max_28_21,57.250630156934484,15
demand_rolling_max_28_28,61.36142166205694,15
demand_rolling_max_28_7,58.183692734979935,15
demand_rolling_mean_28_14,72.48049631133023,15
demand_rolling_mean_28_21,86.29152387554309,15
demand_rolling_mean_28_28,90.60338067098962,15
demand_rolling_mean_28_7,71.05244602904614,15
demand_rolling_min_28_14,51.958141237373596,15
demand_rolling_min_28_21,49.10460041199312,15
demand_rolling_min_28_28,51.68011401716451,15
demand_rolling_min_28_7,55.842203542173955,15
demand_rolling_skew_28_14,61.34326424812588,15
demand_rolling_skew_28_21,61.363478221735,15
demand_rolling_skew_28_28,64.9574706692767,15
demand_rolling_skew_28_7,61.9332396751858,15
demand_rolling_std_28_14,65.43073149818925,15
demand_rolling_std_28_21,64.36780295760849,15
demand_rolling_std_28_28,75.72144671675595,15
demand_rolling_std_28_7,66.45148228193123,15
dept_id,68.94744470869074,15
dept_id_state_id,60.48734664071242,15
dept_id_store_id,63.880094564588774,15
event_name_1,54.44628746615268,15
event_name_2,0.0,15
event_type_1,47.23991633204547,15
event_type_2,0.0,15
is_NBA_final,49.94374428433071,15
is_blackfriday,47.64759266167391,15
is_chanukah,36.288451329683895,15
is_holiday_ca,41.2294939269682,15
is_holiday_tx,46.693011301374376,15
is_holiday_us,48.87552554210299,15
is_holiday_wi,46.24445879297745,15
is_lent,54.60591847809433,15
is_pesach,43.67510297217564,15
is_purim,33.40960059995304,15
is_ramadan,50.39636705465668,15
is_weekend,0.0,15
item_id,68.27534119127516,15
item_id_state_id,63.524253366053124,15
item_id_store_id,63.52350917676336,15
item_nunique,67.34631256221384,15
iz_zero_ratio_28_14,58.76329765360654,15
iz_zero_ratio_28_21,61.23587812567479,15
iz_zero_ratio_28_28,67.22982668260671,15
iz_zero_ratio_28_7,55.85656054136242,15
month,63.84198057379852,15
moon,57.262640509838995,15
price_change_t1,0.0,15
price_change_t365,63.06827792372301,15
price_max,68.78918671599142,15
price_mean,68.7701759359176,15
price_min,64.98810509356517,15
price_momentum,54.5731107254557,15
price_momentum_m,67.4520941124921,15
price_momentum_y,67.58737955130347,15
price_norm,66.5364374695636,15
price_nunique,63.83020904606181,15
price_std,67.46312708728763,15
release,64.7379118051594,15
rolling_price_max_t365,68.3012486627313,15
rolling_price_std_t30,69.97195466717174,15
rolling_price_std_t7,60.99652883059652,15
seasonality,69.6413319383073,15
sell_price,66.28180233994182,15
shift_price_t1,57.58713754847167,15
snap_CA,50.22120984041975,15
snap_TX,53.48189711594815,15
snap_WI,56.859892095096136,15
state_id,47.44112562975535,15
store_id,63.162391412582224,15
wday,62.21941593226265,15
week,68.49736819434247,15
weekofmonth,51.15278799609649,15
year,59.96952761994826,15
