feature,importance,fold
day,10.804845800930297,1
dayofweek,11.590062299630967,1
days_from_release,11.652758486179753,1
demand_lag_28_0,10.560611964413873,1
demand_lag_28_14,10.022962799884834,1
demand_lag_28_21,10.105873139649198,1
demand_lag_28_28,11.069434704378148,1
demand_lag_28_7,10.164048597078365,1
demand_rolling_kurt_28_14,10.235073707847897,1
demand_rolling_kurt_28_21,10.227549132462274,1
demand_rolling_kurt_28_28,10.46846363081078,1
demand_rolling_kurt_28_7,10.126891489945105,1
demand_rolling_max_28_14,9.48070564210916,1
demand_rolling_max_28_21,9.505365164239395,1
demand_rolling_max_28_28,10.045239809884954,1
demand_rolling_max_28_7,9.538555963413708,1
demand_rolling_mean_28_14,12.638121298201966,1
demand_rolling_mean_28_21,14.843285177208184,1
demand_rolling_mean_28_28,16.66370966224765,1
demand_rolling_mean_28_7,11.19819578977745,1
demand_rolling_min_28_14,6.117279459865232,1
demand_rolling_min_28_21,5.955942544822305,1
demand_rolling_min_28_28,3.572898894488308,1
demand_rolling_min_28_7,7.470610267378909,1
demand_rolling_skew_28_14,10.3787915110381,1
demand_rolling_skew_28_21,10.25086983368001,1
demand_rolling_skew_28_28,10.748882379685039,1
demand_rolling_skew_28_7,10.42565954876085,1
demand_rolling_std_28_14,11.080848608983127,1
demand_rolling_std_28_21,10.719802695421457,1
demand_rolling_std_28_28,12.082608176491057,1
demand_rolling_std_28_7,10.914845529004781,1
dept_id,10.89728333626936,1
dept_id_state_id,9.821482611379977,1
dept_id_store_id,10.415791605477564,1
event_name_1,9.663102162956458,1
event_name_2,0.0,1
event_type_1,8.835441938813977,1
event_type_2,0.0,1
is_NBA_final,6.411590825756747,1
is_blackfriday,7.2421048321315,1
is_chanukah,5.451869875563442,1
is_holiday_ca,5.03938922940991,1
is_holiday_tx,8.011519665962926,1
is_holiday_us,6.839563694600781,1
is_holiday_wi,4.950478975643756,1
is_lent,8.284622546159715,1
is_pesach,7.524446595576789,1
is_purim,4.017441914766771,1
is_ramadan,7.535807735168181,1
is_weekend,8.430280924227871,1
item_id,11.62263655709946,1
item_id_state_id,11.055910839964701,1
item_id_store_id,11.076463957060671,1
item_nunique,11.41629657198295,1
iz_zero_ratio_28_14,9.249279329863711,1
iz_zero_ratio_28_21,9.9599652190229,1
iz_zero_ratio_28_28,10.578461161971378,1
iz_zero_ratio_28_7,8.999879209280717,1
month,10.83254495185438,1
moon,9.507552793128028,1
price_change_t1,5.298374356501227,1
price_change_t365,9.753784374130717,1
price_max,10.997641734552445,1
price_mean,11.467493709622381,1
price_min,11.222917005767535,1
price_momentum,8.000304325576929,1
price_momentum_m,11.263721786040806,1
price_momentum_y,11.273343730247403,1
price_norm,11.159093947206093,1
price_nunique,9.882048506369145,1
price_std,11.891762120800557,1
release,10.858451591257662,1
rolling_price_max_t365,11.478327142230398,1
rolling_price_std_t30,11.863584715675618,1
rolling_price_std_t7,10.436162903662732,1
seasonality,11.812997547462757,1
sell_price,11.235993465112243,1
shift_price_t1,10.289178898177338,1
snap_CA,7.5683832953290375,1
snap_TX,8.1369039293644,1
snap_WI,7.792377537083214,1
state_id,8.238398709923947,1
store_id,10.763275026876654,1
wday,11.471210459456518,1
week,11.729319736316183,1
weekofmonth,7.599616086215778,1
year,9.660107431932392,1
