feature,importance,fold
cat_id,12.228281404532224,1
day,11.809906078249389,1
dayofweek,8.751748926604671,1
days_from_release,12.83685030550211,1
demand_lag_28_0,12.632598030838578,1
demand_lag_28_14,10.66244316815261,1
demand_lag_28_21,10.944237191114834,1
demand_lag_28_28,12.802066338296202,1
demand_lag_28_7,11.119074068350054,1
demand_rolling_kurt_28_14,10.641668131282074,1
demand_rolling_kurt_28_21,10.380705607961499,1
demand_rolling_kurt_28_28,11.10933798122053,1
demand_rolling_kurt_28_7,10.638720109541559,1
demand_rolling_max_28_14,10.35040357759063,1
demand_rolling_max_28_21,10.159364616120083,1
demand_rolling_max_28_28,10.980438797183899,1
demand_rolling_max_28_7,10.157265048400705,1
demand_rolling_mean_28_14,14.90498726698369,1
demand_rolling_mean_28_21,16.704701253085222,1
demand_rolling_mean_28_28,17.758466340770383,1
demand_rolling_mean_28_7,13.507901767069756,1
demand_rolling_min_28_14,8.873603841322883,1
demand_rolling_min_28_21,9.02082718138755,1
demand_rolling_min_28_28,8.921044518934359,1
demand_rolling_min_28_7,9.837905813485728,1
demand_rolling_skew_28_14,11.314325672565989,1
demand_rolling_skew_28_21,11.049068612010387,1
demand_rolling_skew_28_28,12.156545199785917,1
demand_rolling_skew_28_7,11.431013150238416,1
demand_rolling_std_28_14,12.56222805361647,1
demand_rolling_std_28_21,13.010796626893221,1
demand_rolling_std_28_28,14.217482158809737,1
demand_rolling_std_28_7,12.604898740779648,1
dept_id,13.585568814176057,1
event_name_1,9.838442974825348,1
event_name_2,5.033929820205839,1
event_type_1,10.57101426769565,1
event_type_2,5.057436156853291,1
is_NBA_final,8.778083660137476,1
is_blackfriday,0.0,1
is_chanukah,6.808214014141939,1
is_holiday_ca,7.6569246015946675,1
is_holiday_tx,7.206716020530728,1
is_holiday_us,5.804880098576386,1
is_holiday_wi,5.679359995788222,1
is_lent,10.091415857276733,1
is_pesach,7.413805361640154,1
is_purim,0.0,1
is_ramadan,8.87893052950833,1
is_weekend,0.0,1
item_id,12.59174055776738,1
item_nunique,12.45915582241147,1
month,11.964037865961222,1
moon,9.419795580621852,1
price_change_t1,8.709565451552487,1
price_change_t365,11.758263414349457,1
price_max,12.935461698419411,1
price_mean,13.395389422180003,1
price_min,12.073621424162864,1
price_momentum,10.447310815994241,1
price_momentum_m,12.483845700592934,1
price_momentum_y,12.664555148159216,1
price_norm,12.555766252252145,1
price_nunique,11.69184932098474,1
price_std,12.645283218935193,1
release,12.04879234357652,1
rolling_price_max_t365,12.655316310984741,1
rolling_price_std_t30,13.371317390606063,1
rolling_price_std_t7,11.995008252699016,1
seasonality,12.835749575243572,1
sell_price,12.07981703539354,1
shift_price_t1,11.70297095461145,1
snap_CA,8.459063680909336,1
snap_TX,8.981737867299278,1
snap_WI,10.204128803322131,1
state_id,10.417040354209252,1
store_id,12.929876300427878,1
wday,10.523949806626485,1
week,12.960858441957717,1
weekofmonth,8.926985337444089,1
year,11.361249867359371,1
