feature,importance,fold
day,11.406140950385064,1
dayofweek,12.589023894125885,1
days_from_release,12.440339664014633,1
demand_lag_28_0,11.409339746929898,1
demand_lag_28_14,9.450412914172178,1
demand_lag_28_21,9.653113418619778,1
demand_lag_28_28,11.479143765307585,1
demand_lag_28_7,9.50423837600967,1
demand_rolling_kurt_28_14,9.606862724340052,1
demand_rolling_kurt_28_21,9.840678835693605,1
demand_rolling_kurt_28_28,10.451505175608418,1
demand_rolling_kurt_28_7,9.26566238430014,1
demand_rolling_max_28_14,8.415360844536957,1
demand_rolling_max_28_21,8.973845616273511,1
demand_rolling_max_28_28,9.960326660496408,1
demand_rolling_max_28_7,9.884365091104842,1
demand_rolling_mean_28_14,15.102147046840768,1
demand_rolling_mean_28_21,15.009722828968442,1
demand_rolling_mean_28_28,17.540524039118498,1
demand_rolling_mean_28_7,12.895285823008194,1
demand_rolling_min_28_14,8.061361983093452,1
demand_rolling_min_28_21,7.580137446942222,1
demand_rolling_min_28_28,7.4285927004597525,1
demand_rolling_min_28_7,8.37379768209135,1
demand_rolling_skew_28_14,10.23731859663498,1
demand_rolling_skew_28_21,10.304413635480977,1
demand_rolling_skew_28_28,11.229666838252554,1
demand_rolling_skew_28_7,10.553233391777557,1
demand_rolling_std_28_14,11.513373833180548,1
demand_rolling_std_28_21,11.886214276452492,1
demand_rolling_std_28_28,13.053322035718331,1
demand_rolling_std_28_7,11.717132837871205,1
dept_id,12.724532541202645,1
event_name_1,9.870112747729543,1
event_name_2,0.0,1
event_type_1,9.767823620002922,1
event_type_2,0.0,1
is_NBA_final,7.655070174263345,1
is_blackfriday,6.7439365558207145,1
is_chanukah,7.492599063304037,1
is_holiday_ca,7.462366117216451,1
is_holiday_tx,7.471466550798738,1
is_holiday_us,8.463258708816399,1
is_holiday_wi,7.110793248239496,1
is_lent,9.99100273068578,1
is_pesach,6.657632158503696,1
is_purim,6.940727480615941,1
is_ramadan,9.240403263087742,1
is_weekend,10.783347418376492,1
item_id,12.454149973649178,1
item_nunique,12.011048058150001,1
month,11.24562112352396,1
moon,9.278569296766976,1
price_change_t1,6.614634976583365,1
price_change_t365,11.2114074727632,1
price_max,11.672238194099219,1
price_mean,12.215514958145075,1
price_min,11.833150650927115,1
price_momentum,9.272980461050162,1
price_momentum_m,12.014411496698894,1
price_momentum_y,11.774624829691195,1
price_norm,11.952395121523224,1
price_nunique,10.57572387764208,1
price_std,11.652711366989436,1
release,12.061830017106567,1
rolling_price_max_t365,11.970438618086126,1
rolling_price_std_t30,12.578654314077674,1
rolling_price_std_t7,11.132586810569606,1
seasonality,12.597640571856747,1
sell_price,12.19575985570178,1
shift_price_t1,11.817047032307888,1
snap_CA,8.101156799258726,1
snap_TX,7.865250792211739,1
snap_WI,7.320642164038495,1
state_id,9.213306498797987,1
store_id,12.423695997390634,1
wday,13.026489390692326,1
week,12.363174336753652,1
weekofmonth,7.567016297420622,1
year,11.060003058673525,1
