feature,importance,fold
cat_id,13.679874882052163,1
day,12.852623213001873,1
dayofweek,13.481847063900005,1
days_from_release,13.949083100947172,1
demand_lag_28_0,13.802609167070296,1
demand_lag_28_14,11.510268020464341,1
demand_lag_28_21,11.700163427775257,1
demand_lag_28_28,13.557677742354683,1
demand_lag_28_7,12.367759605273031,1
demand_rolling_kurt_28_14,11.141559430635875,1
demand_rolling_kurt_28_21,11.045900831850249,1
demand_rolling_kurt_28_28,12.137072480029348,1
demand_rolling_kurt_28_7,11.24552690089683,1
demand_rolling_max_28_14,10.163214918535036,1
demand_rolling_max_28_21,10.909549384848642,1
demand_rolling_max_28_28,12.93204546064364,1
demand_rolling_max_28_7,10.889468742442517,1
demand_rolling_mean_28_14,16.414180511151038,1
demand_rolling_mean_28_21,15.927167302465818,1
demand_rolling_mean_28_28,19.067311040690125,1
demand_rolling_mean_28_7,14.932414239248544,1
demand_rolling_min_28_14,10.096798273850553,1
demand_rolling_min_28_21,9.891451294822724,1
demand_rolling_min_28_28,9.934669057439404,1
demand_rolling_min_28_7,10.840687061704088,1
demand_rolling_skew_28_14,11.990404565561976,1
demand_rolling_skew_28_21,12.082771076432277,1
demand_rolling_skew_28_28,13.075805939586603,1
demand_rolling_skew_28_7,12.375262739132493,1
demand_rolling_std_28_14,13.543382643676459,1
demand_rolling_std_28_21,13.142326281769453,1
demand_rolling_std_28_28,15.447468722728114,1
demand_rolling_std_28_7,13.671572669951548,1
dept_id,14.38896156673173,1
event_name_1,10.746885738980268,1
event_name_2,0.0,1
event_type_1,10.405190780630384,1
event_type_2,0.0,1
is_NBA_final,10.090346721548745,1
is_blackfriday,9.497096926432162,1
is_chanukah,8.334136132883938,1
is_holiday_ca,8.267596857724017,1
is_holiday_tx,8.724763139837163,1
is_holiday_us,9.565006296852298,1
is_holiday_wi,9.234980489977037,1
is_lent,11.33352558315933,1
is_pesach,8.872933415651085,1
is_purim,0.0,1
is_ramadan,10.102314096042774,1
is_weekend,11.286727040945998,1
item_id,13.725107507352147,1
item_nunique,13.420466481495543,1
month,12.993280820548009,1
price_change_t1,8.627124020426038,1
price_change_t365,12.909738058807031,1
price_max,14.023620833310124,1
price_mean,14.25463503605515,1
price_min,13.10778946161747,1
price_momentum,10.834230903669814,1
price_momentum_m,13.571899667605393,1
price_momentum_y,13.74744622921438,1
price_norm,13.434679712001898,1
price_nunique,12.962609966931918,1
price_std,13.480981925462439,1
release,13.167508332138492,1
rolling_price_max_t365,13.985986710571636,1
rolling_price_std_t30,14.471812500130417,1
rolling_price_std_t7,12.483658188401064,1
seasonality,14.065962454575692,1
sell_price,13.359219347342828,1
shift_price_t1,12.783138560638134,1
snap_CA,9.684240158429848,1
snap_TX,10.594932460696104,1
snap_WI,11.523688363462469,1
state_id,11.6419457203252,1
store_id,13.828425723655728,1
wday,14.075049392782747,1
week,13.858268983573685,1
weekofmonth,9.746619157694363,1
year,12.451331561321918,1
